,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
188,-0.006161,-1.01748,-0.07259,0.293125,0.074375,-0.39375,-0.650395,0.318036,0.081263,-91.304871,-0.300453,-171.660965,0.004178,0.050557,0.019041
189,-0.005246,-1.018395,-0.073078,2.23125,0.188125,-0.380625,-0.650395,0.318036,0.081263,-91.303535,-0.301828,-171.683563,0.003251,0.050913,0.019970
190,-0.008235,-1.018395,-0.070028,0.5425,0.161875,-0.319375,-0.650395,0.318036,0.081263,-91.305717,-0.302538,-171.700333,0.006001,0.047889,0.019271
191,-0.008235,-1.017785,-0.076433,1.063125,0.153125,-0.32375,-0.650395,0.318036,0.081263,-91.316513,-0.302424,-171.722305,0.005425,0.051929,0.019319
192,-0.003599,-1.020286,-0.063379,2.135,0.21,-0.37625,-0.650395,0.318036,0.081263,-91.304001,-0.302796,-171.744232,0.006542,0.041527,0.021635
193,-0.006832,-1.018029,-0.067588,-0.170625,0.048125,-0.319375,-0.650395,0.318036,0.081263,-91.319748,-0.304309,-171.764511,0.005760,0.045431,0.019486
194,-0.007625,-1.018273,-0.076799,0.95375,0.214375,-0.39375,-0.650395,0.318036,0.081263,-91.342354,-0.303394,-171.784348,0.005289,0.054252,0.019955
195,-0.007747,-1.02175,-0.060268,0.459375,0.30625,-0.266875,-0.650395,0.318036,0.081263,-91.339317,-0.303102,-171.805511,0.009250,0.035041,0.020715
196,-0.005856,-1.015467,-0.075396,-0.53375,0.056875,-0.459375,-0.650395,0.318036,0.081263,-91.377007,-0.303175,-171.822296,0.004376,0.051787,0.018977
197,-0.007808,-1.017358,-0.073871,2.21375,0.21,-0.275625,-0.650395,0.318036,0.081263,-91.387314,-0.303637,-171.843292,0.005750,0.050561,0.019012
198,-0.007076,-1.020042,-0.059719,0.35875,0.04375,-0.354375,-0.650395,0.318036,0.081263,-91.39212,-0.30414,-171.863297,0.007391,0.036343,0.021365
199,-0.006771,-1.015345,-0.076921,1.019375,0.144375,-0.284375,-0.650395,0.318036,0.081263,-91.415497,-0.303532,-171.882660,0.004681,0.053024,0.017101
200,-0.006222,-1.019188,-0.072224,1.82,0.20125,-0.28875,-0.650395,0.318036,0.081263,-91.408546,-0.304339,-171.903427,0.004848,0.046153,0.018268
201,-0.009089,-1.021506,-0.07747,0.546875,0.175,-0.23625,-0.650395,0.318036,0.081263,-91.40564,-0.303382,-171.919266,0.010497,0.038927,0.021596
202,-0.005856,-1.022055,-0.070455,0.28875,0.118125,-0.2975,-0.650395,0.318036,0.081263,-91.425934,-0.302158,-171.938507,0.007314,0.044346,0.021040
203,-0.004514,-1.013149,-0.072163,0.83125,0.091875,-0.485625,-0.650395,0.318036,0.081263,-91.439606,-0.304648,-171.957474,0.003242,0.047623,0.014822
204,-0.007747,-1.013881,-0.066307,4.379375,0.258125,-0.459375,-0.650395,0.318036,0.081263,-91.403511,-0.306315,-171.977921,0.007223,0.042895,0.015366
205,-0.007442,-1.021201,-0.071614,7.126875,0.28,-0.42875,-0.650395,0.318036,0.081263,-91.298935,-0.307961,-171.999771,0.006032,0.049785,0.022727
206,-0.008845,-1.01809,-0.062037,7.319375,0.21,-0.37625,-0.650395,0.318036,0.081263,-91.16597,-0.310034,-172.016632,0.007601,0.038674,0.015225
207,-0.006161,-1.019859,-0.059292,5.5825,0.2975,-0.354375,-0.650395,0.318036,0.081263,-91.078773,-0.311601,-172.035599,0.005901,0.036813,0.020892
208,-0.009943,-1.009184,-0.064782,9.59,0.30625,-0.406875,-0.650395,0.318036,0.081263,-90.932999,-0.312944,-172.055710,0.008593,0.050023,0.010254
209,-0.008357,-1.020225,-0.031903,13.20375,0.2975,-0.380625,-0.650395,0.318036,0.081263,-90.677742,-0.314063,-172.074646,0.011047,0.021570,0.020705
210,-0.006466,-1.034621,-0.021899,2.603125,0.21,-0.35875,-0.650395,0.318036,0.081263,-90.550491,-0.316707,-172.090317,0.010389,0.013522,0.034975
