,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
562,0.04453,-0.744139,-0.636108,-28.682501,-2.012500,-5.560625,0.18328,0.379421,-0.442414,-121.063400,-4.020063,70.697067,0.144407,-0.075445,-0.033557
563,0.032818,-0.738771,-0.620248,-18.466875,-1.067500,-5.88875,0.18328,0.379421,-0.442414,-121.592712,-4.085734,70.798462,0.122055,-0.080038,-0.04582
564,0.029707,-0.763781,-0.596885,-18.969999,-1.439375,-5.718125,0.18328,0.379421,-0.442414,-122.024803,-4.148192,70.895424,0.082541,-0.071234,-0.03624
565,0.042578,-0.734074,-0.657275,-24.351250,-1.798125,-5.560625,0.18328,0.379421,-0.442414,-122.578773,-4.20754,70.998589,0.140165,-0.08095,-0.027102
566,0.05185,-0.772382,-0.643123,-22.872499,-1.662500,-5.516875,0.18328,0.379421,-0.442414,-123.095467,-4.265745,71.099022,0.103843,-0.058939,-0.00056
567,0.064233,-0.766255,-0.697108,-15.653750,-1.137500,-5.551875,0.18328,0.379421,-0.442414,-123.582291,-4.338853,71.201439,0.147896,-0.064607,0.020504
568,0.083753,-0.799283,-0.722789,-14.249375,-1.360625,-5.175625,0.18328,0.379421,-0.442414,-123.948341,-4.422965,71.287384,0.149106,-0.045152,0.067124
569,0.08174,-0.785985,-0.734684,-6.914375,-0.284375,-5.4075,0.18328,0.379421,-0.442414,-124.259796,-4.504358,71.373909,0.146178,-0.051451,0.068587
570,0.100284,-0.859551,-0.709186,-4.637500,-0.406875,-5.25875,0.18328,0.379421,-0.442414,-124.430031,-4.593784,71.45089,0.108157,-0.02127,0.114513
571,0.105042,-0.861198,-0.74298,-13.982500,-1.273125,-4.991875,0.18328,0.379421,-0.442414,-124.680862,-4.676093,71.530075,0.125739,-0.030773,0.129127
572,0.11102,-0.863577,-0.763415,-18.191250,-1.719375,-4.2525,0.18328,0.379421,-0.442414,-125.076767,-4.741187,71.616455,0.110828,-0.020998,0.153143
573,0.120475,-0.921588,-0.759755,-16.078125,-1.824375,-3.416875,0.18328,0.379421,-0.442414,-125.502739,-4.797524,71.707176,0.086549,-0.006307,0.201283
574,0.118035,-0.917745,-0.834358,-15.382500,-1.776250,-2.37125,0.18328,0.379421,-0.442414,-125.906113,-4.829433,71.778061,0.135266,-0.031888,0.23436
575,0.138897,-0.911828,-0.870165,9.380000,0.673750,-1.028125,0.18328,0.379421,-0.442414,-125.985222,-4.866831,71.814575,0.165215,-0.024145,0.251793
576,0.162931,-1.0309,-0.80764,15.750000,0.533750,0.42875,0.18328,0.379421,-0.442414,-125.685532,-4.893241,71.814743,0.06805,0.030831,0.311859
577,0.164456,-0.972584,-0.857599,20.846874,0.560000,1.964375,0.18328,0.379421,-0.442414,-125.406662,-4.895858,71.794189,0.145858,0.008448,0.298997
578,0.162809,-1.015894,-0.854549,28.525000,1.452500,3.775625,0.18328,0.379421,-0.442414,-124.884399,-4.879728,71.742828,0.129863,0.009335,0.33123
579,0.144814,-0.985699,-0.784887,33.096874,1.286250,5.306875,0.18328,0.379421,-0.442414,-124.274712,-4.830121,71.673531,0.101155,0.006836,0.264376
580,0.120109,-0.99125,-0.765001,25.768749,0.376250,7.765625,0.18328,0.379421,-0.442414,-123.721016,-4.747088,71.592888,0.073598,-0.007696,0.276143
581,0.084973,-0.930067,-0.784033,12.420625,-0.551250,7.433125,0.18328,0.379421,-0.442414,-123.479538,-4.623234,71.530533,0.128282,-0.054609,0.207751
582,0.059841,-0.855159,-0.749568,20.028749,-0.726250,8.159375,0.18328,0.379421,-0.442414,-123.227234,-4.472634,71.465576,0.143972,-0.077929,0.134383
583,0.05551,-0.822585,-0.763842,37.450001,0.910000,8.53125,0.18328,0.379421,-0.442414,-122.676010,-4.328476,71.376991,0.186539,-0.089572,0.115586
584,0.058804,-0.876631,-0.669292,31.810625,0.958125,8.719375,0.18328,0.379421,-0.442414,-121.851852,-4.154292,71.273453,0.095876,-0.057857,0.09384
585,0.056913,-0.807823,-0.686433,13.575625,-0.188125,8.6625,0.18328,0.379421,-0.442414,-121.618904,-3.993033,71.179321,0.147435,-0.063369,0.046202
586,0.058926,-0.755973,-0.73322,34.877499,1.973125,8.273125,0.18328,0.379421,-0.442414,-121.048592,-3.863875,71.077988,0.222298,-0.087349,0.027495
587,0.057706,-0.841678,-0.587369,35.420002,1.697500,7.748125,0.18328,0.379421,-0.442414,-120.312546,-3.746917,70.969757,0.074971,-0.035873,0.024736
588,0.039589,-0.837225,-0.598898,0.568750,-0.520625,7.135625,0.18328,0.379421,-0.442414,-120.215584,-3.618002,70.910172,0.0829,-0.055531,0.025416
589,0.057706,-0.751337,-0.648247,9.270625,1.041250,6.374375,0.18328,0.379421,-0.442414,-120.194054,-3.498091,70.850899,0.169885,-0.067866,-0.023214
590,0.054717,-0.789096,-0.591944,32.060001,3.198125,5.823125,0.18328,0.379421,-0.442414,-119.747147,-3.418206,70.75985,0.123801,-0.046415,-0.02553
591,0.038247,-0.817522,-0.567117,36.841877,4.305000,5.166875,0.18328,0.379421,-0.442414,-119.079475,-3.3557,70.651039,0.087279,-0.051184,-0.017307
592,0.034526,-0.788913,-0.519232,37.130627,4.480000,4.52375,0.18328,0.379421,-0.442414,-118.360809,-3.303627,70.53714,0.077985,-0.045124,-0.055747
593,0.01342,-0.792695,-0.517463,37.961876,5.162500,4.064375,0.18328,0.379421,-0.442414,-117.687187,-3.250692,70.42733,0.060433,-0.062862,-0.052346
594,0.015311,-0.84058,-0.440359,46.777500,5.495000,3.521875,0.18328,0.379421,-0.442414,-116.622238,-3.203234,70.302185,0.019792,-0.049914,-0.056854
595,0.0183,-0.831979,-0.398696,20.418125,4.221875,2.94875,0.18328,0.379421,-0.442414,-116.065887,-3.167951,70.176735,-0.017896,-0.023321,-0.075658
596,0.020984,-0.759633,-0.428708,27.785625,5.271875,2.314375,0.18328,0.379421,-0.442414,-115.610619,-3.147287,70.079483,0.045799,-0.045326,-0.114046
597,0.030683,-0.880962,-0.355447,24.285625,5.092500,1.308125,0.18328,0.379421,-0.442414,-115.021446,-3.150118,69.978752,-0.054632,-0.003159,-0.050969
598,0.030805,-0.805627,-0.356057,9.900625,4.230625,0.3325,0.18328,0.379421,-0.442414,-114.761215,-3.162258,69.904533,-0.019184,-0.012143,-0.118822
